vin,customer_name,customer_contact,service_date,odometer_reading,complaint,diagnosis,recommended,service_performed,parts_used,labor_hours_billed,technician,invoice_total,make,model,year,created_at,shop_id
1C4RJFAG4FC123456,Robert Doe,-5757,1/13/2023 0:00,1731,oil leaking in driveway,bad starter relay,Rotor machining or replacement,Electrical diagnostic,Oil filter - FRAM PH2,3.91,Laura Smith,118.85,Chevrolet,Silverado,2020,8/4/2025 1:34,dev_shop_001
1C4RJFAG4FC123456,Robert Doe,-5757,4/28/2024 0:00,14130,car won't start after sitting overnight,parasitic draw,Throttle body cleaning,Tire balancing,Alternator Duralast,2.35,Unassigned,1101.15,Honda,Civic,2005,8/4/2025 1:34,dev_shop_001
1C4RJFAG4FC123456,Robert Doe,-5757,11/17/2022 0:00,26529,steering wheel shakes bad,suspected alternator issue,Throttle body cleaning,Tire balancing,Battery NAPA-65,2.29,Carlos Garcia,373.57,Chevrolet,Silverado,2009,8/4/2025 1:34,dev_shop_001
1D7RB1GT1BS123456,James Brown,-7910,3/13/2025 0:00,1731,oil leaking in driveway,low refrigerant,Battery replacement,Spark plug replacement,Transmission fluid,2.34,John Doe,196.81,Ford,Escape,2023,8/4/2025 1:34,dev_shop_001
1D7RB1GT1BS123456,James Brown,-7910,7/30/2023 0:00,14130,trans slipping after warm up,likely spark plugs,Electrical diagnostic and repair,Electrical diagnostic,Alternator Duralast,1.84,Laura Smith,134.73,Nissan,Altima,2009,8/4/2025 1:34,dev_shop_001
1D7RB1GT1BS123456,James Brown,-7910,9/30/2022 0:00,26529,check brakes - squeak,suspected alternator issue,Brake pad replacement,Brake pad replacement,Alternator Duralast,6.07,Mike D.,884.93,Honda,Civic,2024,8/4/2025 1:34,dev_shop_001
1FAFP45X4WF124578,James Johnson,-5398,7/31/2025 0:00,1731,oil leaking in driveway,no fault found,AC system recharge,Warranty repair - no charge,SP-134A,0.93,Unassigned,634.41,Chevrolet,Silverado,2020,8/4/2025 1:34,dev_shop_001
1FAFP45X4WF124578,James Johnson,-5398,3/15/2023 0:00,14130,oil leaking in driveway,low refrigerant,Alternator replacement,Warranty repair - no charge,,6.51,nan,1188.85,Ford,Escape,2021,8/4/2025 1:34,dev_shop_001
1FMCU0F70EUA12345,Laura Johnson,-3832,9/2/2024 0:00,1731,check brakes - squeak,suspected alternator issue,Gasket replacement,Electrical diagnostic,Oil filter - FRAM PH2,6.03,Mike D.,658.04,Hyundai,Elantra,2024,8/4/2025 1:34,dev_shop_001
1FMCU0F70EUA12345,Laura Johnson,-3832,3/11/2025 0:00,14130,engine light randomly comes on,low refrigerant,Oil pan gasket replacement,Tire balancing,Brake pads - Wagner,3.16,Laura Smith,1.47,Chevrolet,Silverado,2016,8/4/2025 1:34,dev_shop_001
1FMCU0F70EUA12345,Laura Johnson,-3832,1/31/2024 0:00,26529,car won't start after sitting overnight,parasitic draw,Tire balancing,Warranty repair - no charge,O2-SENSOR-BOSCH,2.91,Unassigned,799.69,Nissan,Altima,2007,8/4/2025 1:34,dev_shop_001
1FMCU0F70EUA12345,Laura Johnson,-3832,11/16/2022 0:00,38928,steering wheel shakes bad,suspected alternator issue,Head gasket replacement,Electrical diagnostic,Brake pads - Wagner,3.86,nan,682.51,Hyundai,Elantra,2016,8/4/2025 1:34,dev_shop_001
1GNSKJE79DR123456,Jane Smith,-5866,4/10/2025 0:00,1731,engine light randomly comes on,bad starter relay,Brake pad replacement,Spark plug replacement,Oil filter - FRAM PH2,2.91,Tina Brown,576.09,Toyota,Camry,2011,8/4/2025 1:34,dev_shop_001
1GNSKJE79DR123456,Jane Smith,-5866,9/9/2023 0:00,14130,strange grinding noise,bad starter relay,Brake pad replacement,Tire balancing,Transmission fluid,4.5,Mike D.,871.68,Nissan,Altima,2008,8/4/2025 1:34,dev_shop_001
1HGCM82633A004352,Emily Johnson,-2970,4/16/2023 0:00,1731,trans slipping after warm up,suspected alternator issue,Oil pan replacement,Customer declined service,,3.93,Tina Brown,287.74,Hyundai,Elantra,2019,8/4/2025 1:34,dev_shop_001
1HGCM82633A004352,Emily Johnson,-2970,9/24/2022 0:00,14130,battery keeps dying,O2 sensor fault,AC system recharge,Deferred,,6.69,Mike D.,1131.58,Ford,Escape,2015,8/4/2025 1:34,dev_shop_001
1HGCM82633A004352,Emily Johnson,-2970,6/13/2024 0:00,26529,oil leaking in driveway,O2 sensor fault,Transmission fluid flush,Warranty repair - no charge,Brake pads - Wagner,3.96,John Doe,357.58,Chevrolet,Silverado,2018,8/4/2025 1:34,dev_shop_001
1J4FA49S01P331421,James Hodges,-8549,10/27/2024 0:00,1731,customer states loud knocking sound,suspected alternator issue,Brake pad replacement,Electrical diagnostic,Oil filter - FRAM PH2,4.64,Laura Smith,93.04,Ford,Mustang,2024,8/4/2025 1:34,dev_shop_001
1J4FA49S01P331421,James Hodges,-8549,3/8/2023 0:00,14130,engine light randomly comes on,no fault found,Battery replacement,Spark plug replacement,Brake pads - Wagner,4.87,Unassigned,187.82,Jeep,Grand Cherokee,2014,8/4/2025 1:34,dev_shop_001
1J4FA49S01P331421,James Hodges,-8549,11/3/2024 0:00,26529,battery keeps dying,likely spark plugs,Head gasket replacement,Warranty repair - no charge,,4.14,nan,1180.91,Jeep,Grand Cherokee,2009,8/4/2025 1:34,dev_shop_001
1J4FA49S01P331421,James Hodges,-8549,11/17/2024 0:00,38928,oil leaking in driveway,O2 sensor fault,Head gasket replacement,Tire balancing,,2.31,Unassigned,501.29,Toyota,Camry,2019,8/4/2025 1:34,dev_shop_001
1N4AL3AP9FC123456,Mike Anderson,-7461,7/10/2022 0:00,1731,AC not cold enough,O2 sensor fault,Rotor machining or replacement,Spark plug replacement,Oil filter - FRAM PH2,1.05,Unassigned,705.36,Ford,Escape,2012,8/4/2025 1:34,dev_shop_001
1N4AL3AP9FC123456,Mike Anderson,-7461,11/1/2024 0:00,14130,trans slipping after warm up,low refrigerant,Throttle body cleaning,Tire balancing,,3.01,Unassigned,496.34,Nissan,Altima,2024,8/4/2025 1:34,dev_shop_001
2HGFB2F59CH123456,John Martinez,-10834,3/11/2025 0:00,1731,engine light randomly comes on,worn alternator bearings,Oil pan replacement,Customer declined service,Alternator Duralast,1.74,Mike D.,871.04,Nissan,Altima,2018,8/4/2025 1:34,dev_shop_001
2HGFB2F59CH123456,John Martinez,-10834,1/26/2024 0:00,14130,AC not cold enough,no fault found,Cap inspection or replacement,Tire balancing,Transmission fluid,3.55,Tina Brown,411.48,Ford,Mustang,2022,8/4/2025 1:34,dev_shop_001
2T1BURHE0FC409999,John Martinez,-9910,4/10/2025 0:00,1731,customer states loud knocking sound,unable to replicate,AC system recharge,Head gasket replacement,O2-SENSOR-BOSCH,6.12,John Doe,674.82,VW,Jetta,2008,8/4/2025 1:34,dev_shop_001
2T1BURHE0FC409999,John Martinez,-9910,4/15/2022 0:00,14130,customer states loud knocking sound,parasitic draw,AC system recharge,Electrical diagnostic,Brake pads - Wagner,5.28,Carlos Garcia,9.57,Jeep,Grand Cherokee,2024,8/4/2025 1:34,dev_shop_001
3GNEK18R5XG118448,Carlos Smith,-9200,5/18/2022 0:00,1731,battery keeps dying,unable to replicate,Sensor replacement,Tire balancing,Oil filter - FRAM PH2,6.65,nan,93.93,Hyundai,Elantra,2012,8/4/2025 1:34,dev_shop_001
3GNEK18R5XG118448,Carlos Smith,-9200,1/22/2022 0:00,14130,customer states loud knocking sound,suspected alternator issue,Oil pan replacement,Transmission fluid flush,Alternator Duralast,2.93,Laura Smith,211.61,Ford,Escape,2008,8/4/2025 1:34,dev_shop_001
3VW2K7AJ5DM123456,Laura Smith,-4457,2/21/2024 0:00,1731,oil leaking in driveway,worn alternator bearings,Alternator replacement,Warranty repair - no charge,Transmission fluid,0.6,nan,97.36,VW,Jetta,2006,8/4/2025 1:34,dev_shop_001
3VW2K7AJ5DM123456,Laura Smith,-4457,6/26/2025 0:00,14130,car won't start after sitting overnight,suspected transmission issue,Transmission fluid flush,Head gasket replacement,Brake pads - Wagner,5.33,nan,101.47,Honda,Civic,2007,8/4/2025 1:34,dev_shop_001
4T1BF1FK0GU123456,Jane Brown,-3954,9/21/2023 0:00,1731,battery keeps dying,bad starter relay,Gasket replacement,Customer declined service,SP-134A,2.49,John Doe,766.48,Hyundai,Elantra,2017,8/4/2025 1:34,dev_shop_001
