VIN,Customer name and contact info,Date,Odometer reading,Complaint,Diagnosis,Recommended,ServicePerformed,Parts used,Labor hours billed,Technician,Invoice total,Make,Model,Year,Efficiency_Deviation,Efficiency_Loss,Estimated_Loss,Repeat_45d,Prev_Date,Days_Since_Last,Complaint_Similarity,Suspected_Misdiagnosis,Cluster_ID
1C4RJFAG4FC123456,Robert Doe | +1-946-957-3855,2022-01-17,8947,Steering wheel vibration,Low refrigerant,Rotor machining or replacement,Transmission fluid flush,Spark plugs,1.1,Carlos Garcia,212.68,Jeep,Grand Cherokee,2015,-0.8151055423130481,0.0,0.0,0,,,0.0,0,4
1C4RJFAG4FC123456,Robert Doe | +1-946-957-3855,2023-01-21,21862,Battery keeps dying,Bad starter relay,Throttle body cleaning,Tire balancing,Throttle cleaner,1.4,John Doe,216.53,Jeep,Grand Cherokee,2015,-0.5010309207223237,0.0,0.0,0,2022-01-17,369.0,0.0,0,4
1C4RJFAG4FC123456,Robert Doe | +1-946-957-3855,2024-01-22,34672,steering vibration,Faulty spark plugs,Throttle body cleaning,Electrical diagnostic and repair,Wheel weights,0.9,Tina Brown,248.54,Jeep,Grand Cherokee,2015,-1.0244886233735313,0.0,0.0,0,2023-01-21,366.0,0.7622960047552935,0,4
1D7RB1GT1BS123456,James Brown | +1-508-906-6497,2022-01-05,13503,Transmission slipping,Parasitic draw,Battery replacement,Electrical diagnostic and repair,Spark plugs,1.9,Carlos Garcia,288.3,Dodge,Ram 1500,2011,0.022426781928883983,0.0,0.0,0,,,0.0,0,2
1D7RB1GT1BS123456,James Brown | +1-508-906-6497,2022-12-24,25858,Battery keeps dying,Unbalanced tires,Electrical diagnostic and repair,Throttle body cleaning,Transmission fluid,2.2,Tina Brown,402.22,Dodge,Ram 1500,2011,0.3365014035196089,0.0,0.0,0,2022-01-05,353.0,0.0,0,2
1D7RB1GT1BS123456,James Brown | +1-508-906-6497,2023-12-17,38388,Grinding noise when starting,O2 sensor fault,Brake pad replacement,Gasket replacement,Starter motor,2.7,Carlos Garcia,465.73,Dodge,Ram 1500,2011,0.8599591061708165,69.8595,69.8595,0,2022-12-24,358.0,0.0,0,1
1FAFP45X4WF124578,James Johnson | +1-275-769-4355,2022-01-17,57726,oil leak,Alternator failing,AC system recharge,Battery replacement,Wheel weights,0.8,Carlos Garcia,109.24,Ford,Mustang,1998,-1.1291801639037728,0.0,0.0,0,,,0.0,0,4
1FAFP45X4WF124578,James Johnson | +1-275-769-4355,2022-08-27,65496,steering vibration,Oil pan gasket leak,Alternator replacement,Spark plug replacement,Transmission fluid,2.8,Tina Brown,429.32,Ford,Mustang,1998,0.9646506467010577,64.398,64.398,0,2022-01-17,222.0,0.0,0,1
1FMCU0F70EUA12345,Laura Johnson | +1-962-574-2297,2021-12-30,7171,AC not blowing cold,Worn alternator bearings,Gasket replacement,Head gasket replacement,Throttle cleaner,1.7,Carlos Garcia,286.78,Ford,Escape,2014,-0.18695629913159903,0.0,0.0,0,,,0.0,0,2
1FMCU0F70EUA12345,Laura Johnson | +1-962-574-2297,2022-08-07,14871,Brakes squeaking,Worn alternator bearings,Oil pan gasket replacement,Head gasket replacement,Transmission fluid,2.8,Laura Smith,420.2,Ford,Escape,2014,0.9646506467010577,63.029999999999994,63.029999999999994,0,2021-12-30,220.0,0.0,0,1
1FMCU0F70EUA12345,Laura Johnson | +1-962-574-2297,2023-03-11,22431,Excessive exhaust smoke,Worn gasket,Tire balancing,Tire balancing,Wheel weights,0.9,Tina Brown,222.41,Ford,Escape,2014,-1.0244886233735313,0.0,0.0,0,2022-08-07,216.0,0.0,0,4
1FMCU0F70EUA12345,Laura Johnson | +1-962-574-2297,2023-10-08,29816,Excessive exhaust smoke,Low refrigerant level,Head gasket replacement,Spark plug replacement,Wheel weights,0.7,Mike Johnson,128.95,Ford,Escape,2014,-1.2338717044340144,0.0,0.0,0,2023-03-11,211.0,1.0,0,4
